Faction,Section,Unit,Composition,Points
CODEX: ASTRA MILITARUM,Regular,Banehammer,1 model,420
CODEX: ASTRA MILITARUM,Regular,Banesword,1 model,450
CODEX: ASTRA MILITARUM,Regular,Basilisk,1 model,140
CODEX: ASTRA MILITARUM,Regular,Bullgryn Squad,3 models,100
CODEX: ASTRA MILITARUM,Regular,Bullgryn Squad,6 models,200
CODEX: ASTRA MILITARUM,Regular,Cadian Castellan,1 model,55
CODEX: ASTRA MILITARUM,Regular,Cadian Command Squad,5 models,65
CODEX: ASTRA MILITARUM,Regular,Cadian Heavy Weapons Squad,3 models,65
CODEX: ASTRA MILITARUM,Regular,Cadian Shock Troops,10 models,65
CODEX: ASTRA MILITARUM,Regular,Cadian Shock Troops,20 models,120
CODEX: ASTRA MILITARUM,Regular,Catachan Command Squad,5 models,65
CODEX: ASTRA MILITARUM,Regular,Catachan Heavy Weapons Squad,3 models,65
CODEX: ASTRA MILITARUM,Regular,Catachan Jungle Fighters,10 models,65
CODEX: ASTRA MILITARUM,Regular,Catachan Jungle Fighters,20 models,120
CODEX: ASTRA MILITARUM,Regular,Chimera,1 model,85
CODEX: ASTRA MILITARUM,Regular,Commissar,1 model,30
CODEX: ASTRA MILITARUM,Regular,Death Korps of Krieg,10 models,65
CODEX: ASTRA MILITARUM,Regular,Death Korps of Krieg,20 models,145
CODEX: ASTRA MILITARUM,Regular,Death Riders,5 models,60
CODEX: ASTRA MILITARUM,Regular,Death Riders,10 models,120
CODEX: ASTRA MILITARUM,Regular,Deathstrike,1 model,145
CODEX: ASTRA MILITARUM,Regular,Doomhammer,1 model,415
CODEX: ASTRA MILITARUM,Regular,Field Ordnance Battery,2 models,110
CODEX: ASTRA MILITARUM,Regular,Gaunt’s Ghosts,6 models,100
CODEX: ASTRA MILITARUM,Regular,Hellhammer,1 model,420
CODEX: ASTRA MILITARUM,Regular,Hellhound,1 model,125
CODEX: ASTRA MILITARUM,Regular,Hydra,1 model,95
CODEX: ASTRA MILITARUM,Regular,Kasrkin,10 models,110
CODEX: ASTRA MILITARUM,Regular,Krieg Combat Engineers,5 models,60
CODEX: ASTRA MILITARUM,Regular,Krieg Combat Engineers,10 models,95
CODEX: ASTRA MILITARUM,Regular,Krieg Command Squad,6 models,65
CODEX: ASTRA MILITARUM,Regular,Krieg Heavy Weapons Squad,4 models,75
CODEX: ASTRA MILITARUM,Regular,Leman Russ Battle Tank,1 model,185
CODEX: ASTRA MILITARUM,Regular,Leman Russ Commander,1 model,235
CODEX: ASTRA MILITARUM,Regular,Leman Russ Demolisher,1 model,190
CODEX: ASTRA MILITARUM,Regular,Leman Russ Eradicator,1 model,170
CODEX: ASTRA MILITARUM,Regular,Leman Russ Executioner,1 model,170
CODEX: ASTRA MILITARUM,Regular,Leman Russ Exterminator,1 model,180
CODEX: ASTRA MILITARUM,Regular,Leman Russ Punisher,1 model,150
CODEX: ASTRA MILITARUM,Regular,Leman Russ Vanquisher,1 model,145
CODEX: ASTRA MILITARUM,Regular,Lord Marshal Dreir,1 model,100
CODEX: ASTRA MILITARUM,Regular,Lord Solar Leontus,1 model,130
CODEX: ASTRA MILITARUM,Regular,Manticore,1 model,165
CODEX: ASTRA MILITARUM,Regular,Militarum Tempestus Command Squad,5 models,85
CODEX: ASTRA MILITARUM,Regular,Ministorum Priest,1 model,35
CODEX: ASTRA MILITARUM,Regular,Nork Deddog,1 model,60
CODEX: ASTRA MILITARUM,Regular,Ogryn Bodyguard,1 model,40
CODEX: ASTRA MILITARUM,Regular,Ogryn Squad,3 models,60
CODEX: ASTRA MILITARUM,Regular,Ogryn Squad,6 models,130
CODEX: ASTRA MILITARUM,Regular,Primaris Psyker,1 model,60
CODEX: ASTRA MILITARUM,Regular,Ratlings,5 models,60
CODEX: ASTRA MILITARUM,Regular,Ratlings,10 models,100
CODEX: ASTRA MILITARUM,Regular,Rogal Dorn Battle Tank,1 model,260
CODEX: ASTRA MILITARUM,Regular,Rogal Dorn Commander,1 model,290
CODEX: ASTRA MILITARUM,Regular,Scout Sentinels,1 model,55
CODEX: ASTRA MILITARUM,Regular,Scout Sentinels,2 models,110
CODEX: ASTRA MILITARUM,Regular,Shadowsword,1 model,410
CODEX: ASTRA MILITARUM,Regular,Sly Marbo,1 model,55
CODEX: ASTRA MILITARUM,Regular,Stormlord,1 model,430
CODEX: ASTRA MILITARUM,Regular,Stormsword,1 model,465
CODEX: ASTRA MILITARUM,Regular,Taurox,1 model,75
CODEX: ASTRA MILITARUM,Regular,Taurox Prime,1 model,90
CODEX: ASTRA MILITARUM,Regular,Tech-priest Enginseer,1 model,45
CODEX: ASTRA MILITARUM,Regular,Tempestus Aquilons,10 models,100
CODEX: ASTRA MILITARUM,Regular,Tempestus Scions,5 models,70
CODEX: ASTRA MILITARUM,Regular,Tempestus Scions,10 models,140
CODEX: ASTRA MILITARUM,Regular,Ursula Creed,1 model,85
CODEX: ASTRA MILITARUM,Regular,Valkyrie,1 model,190
CODEX: ASTRA MILITARUM,Regular,Wyvern,1 model,110
CODEX: ASTRA MILITARUM,Forge World,Avenger Strike Fighter,1 model,130
CODEX: ASTRA MILITARUM,Forge World,Cyclops Demolition Vehicle,1 model,25
CODEX: ASTRA MILITARUM,Detachment Enhancement,Advance Augury,Bridgehead Strike,15
CODEX: ASTRA MILITARUM,Detachment Enhancement,Bombast-class Vox-array,Bridgehead Strike,35
CODEX: ASTRA MILITARUM,Detachment Enhancement,Priority-drop Beacon,Bridgehead Strike,30
CODEX: ASTRA MILITARUM,Detachment Enhancement,Shroud Projector,Bridgehead Strike,15
CODEX: ASTRA MILITARUM,Detachment Enhancement,Death Mask of Ollanius,Combined Arms,10
CODEX: ASTRA MILITARUM,Detachment Enhancement,Drill Commander,Combined Arms,20
CODEX: ASTRA MILITARUM,Detachment Enhancement,Grand Strategist,Combined Arms,15
CODEX: ASTRA MILITARUM,Detachment Enhancement,Reactive Command,Combined Arms,15
CODEX: ASTRA MILITARUM,Detachment Enhancement,Abhuman Detail,Grizzled Company,20
CODEX: ASTRA MILITARUM,Detachment Enhancement,Aquilan Eye,Grizzled Company,20
CODEX: ASTRA MILITARUM,Detachment Enhancement,Laud Hailer,Grizzled Company,10
CODEX: ASTRA MILITARUM,Detachment Enhancement,Spec Ops Veteran,Grizzled Company,15
CODEX: ASTRA MILITARUM,Detachment Enhancement,Calm Under Fire,Hammer of the Emperor,15
CODEX: ASTRA MILITARUM,Detachment Enhancement,Indomitable Steed,Hammer of the Emperor,15
CODEX: ASTRA MILITARUM,Detachment Enhancement,Regimental Banner,Hammer of the Emperor,20
CODEX: ASTRA MILITARUM,Detachment Enhancement,Veteran Crew,Hammer of the Emperor,20
CODEX: ASTRA MILITARUM,Detachment Enhancement,Bold Leadership,Mechanised Assault,25
CODEX: ASTRA MILITARUM,Detachment Enhancement,Sacred Unguents,Mechanised Assault,10
CODEX: ASTRA MILITARUM,Detachment Enhancement,Smoke Grenades,Mechanised Assault,10
CODEX: ASTRA MILITARUM,Detachment Enhancement,Vanguard Honours,Mechanised Assault,15
CODEX: ASTRA MILITARUM,Detachment Enhancement,Guerrilla Honours,Recon Element,25
CODEX: ASTRA MILITARUM,Detachment Enhancement,Scare Gas Grenades,Recon Element,5
CODEX: ASTRA MILITARUM,Detachment Enhancement,Survival Gear,Recon Element,5
CODEX: ASTRA MILITARUM,Detachment Enhancement,Tripwires,Recon Element,20
CODEX: ASTRA MILITARUM,Detachment Enhancement,Eager Advance,Siege Regiment,20
CODEX: ASTRA MILITARUM,Detachment Enhancement,Flash Grenades,Siege Regiment,20
CODEX: ASTRA MILITARUM,Detachment Enhancement,Legacy Sidearm,Siege Regiment,10
CODEX: ASTRA MILITARUM,Detachment Enhancement,Stalwart’s Honours,Siege Regiment,15
CODEX: BLACK TEMPLARS,Regular,Castellan,1 model,70
CODEX: BLACK TEMPLARS,Regular,Chaplain Grimaldus,4 models,110
CODEX: BLACK TEMPLARS,Regular,Crusade Ancient,1 model,55
CODEX: BLACK TEMPLARS,Regular,Crusader Squad,"1 Sword Brother, 5 Initiates and 4 Neophytes",150
CODEX: BLACK TEMPLARS,Regular,Crusader Squad,"1 Sword Brother, 11 Initiates and 8 Neophytes",300
CODEX: BLACK TEMPLARS,Regular,Emperor’s Champion,1 model,100
CODEX: BLACK TEMPLARS,Regular,Execrator,1 model,60
CODEX: BLACK TEMPLARS,Regular,Gladiator Lancer,1 model,160
CODEX: BLACK TEMPLARS,Regular,Gladiator Reaper,1 model,160
CODEX: BLACK TEMPLARS,Regular,Gladiator Valiant,1 model,150
CODEX: BLACK TEMPLARS,Regular,High Marshal Helbrecht,1 model,120
CODEX: BLACK TEMPLARS,Regular,Impulsor,1 model,85
CODEX: BLACK TEMPLARS,Regular,Land Raider Crusader,1 model,220
CODEX: BLACK TEMPLARS,Regular,Marshal,1 model,80
CODEX: BLACK TEMPLARS,Regular,Sternguard Veteran Squad,5 models,85
CODEX: BLACK TEMPLARS,Regular,Sternguard Veteran Squad,10 models,170
CODEX: BLACK TEMPLARS,Regular,Sword Brethren,4 models,105
CODEX: BLACK TEMPLARS,Regular,Sword Brethren,5 models,130
CODEX: BLACK TEMPLARS,Regular,Sword Brethren,9 models,235
CODEX: BLACK TEMPLARS,Regular,Sword Brethren,10 models,260
CODEX: BLACK TEMPLARS,Regular,Terminator Squad,5 models,175
CODEX: BLACK TEMPLARS,Regular,Terminator Squad,10 models,330
CODEX: BLACK TEMPLARS,Regular,Repulsor,1 model,180
CODEX: BLACK TEMPLARS,Regular,Repulsor Executioner,1 model,235
CODEX: BLACK TEMPLARS,Detachment Enhancement,Incendiary Animus,Companions of Vehemence,25
CODEX: BLACK TEMPLARS,Detachment Enhancement,Merciless Denunciation,Companions of Vehemence,25
CODEX: BLACK TEMPLARS,Detachment Enhancement,Oathbound Exemplar,Companions of Vehemence,15
CODEX: BLACK TEMPLARS,Detachment Enhancement,Zealous Vanguard,Companions of Vehemence,20
CODEX: BLACK TEMPLARS,Detachment Enhancement,Augury Servo-host,Godhammer Assault Force,15
CODEX: BLACK TEMPLARS,Detachment Enhancement,Battle-psalm Precentor,Godhammer Assault Force,10
CODEX: BLACK TEMPLARS,Detachment Enhancement,Herald of Sacred Slaughter,Godhammer Assault Force,15
CODEX: BLACK TEMPLARS,Detachment Enhancement,Paragon of Fury,Godhammer Assault Force,25
CODEX: BLACK TEMPLARS,Detachment Enhancement,Consecrating Aura,Vindication Task Force,25
CODEX: BLACK TEMPLARS,Detachment Enhancement,Imperialis of the Eternal Crusade,Vindication Task Force,15
CODEX: BLACK TEMPLARS,Detachment Enhancement,Orb of the Emperor’s Aegis,Vindication Task Force,10
CODEX: BLACK TEMPLARS,Detachment Enhancement,Warden of Honour,Vindication Task Force,20
CODEX: BLACK TEMPLARS,Detachment Enhancement,Benediction of Fury,Wrathful Procession,10
CODEX: BLACK TEMPLARS,Detachment Enhancement,Pyrebrand,Wrathful Procession,25
CODEX: BLACK TEMPLARS,Detachment Enhancement,Sacred Rage,Wrathful Procession,30
CODEX: BLACK TEMPLARS,Detachment Enhancement,Taramond’s Censer,Wrathful Procession,15
CODEX: BLOOD ANGELS,Regular,Astorath,1 model,85
CODEX: BLOOD ANGELS,Regular,Baal Predator,1 model,125
CODEX: BLOOD ANGELS,Regular,Blood Angels Captain,1 model,80
CODEX: BLOOD ANGELS,Regular,Chief Librarian Mephiston,1 model,120
CODEX: BLOOD ANGELS,Regular,Commander Dante,1 model,120
CODEX: BLOOD ANGELS,Regular,Death Company Captain,1 model,70
CODEX: BLOOD ANGELS,Regular,Death Company Captain with Jump Pack,1 model,75
CODEX: BLOOD ANGELS,Regular,Death Company Dreadnought,1 model,160
CODEX: BLOOD ANGELS,Regular,Death Company Marines,5 models,85
CODEX: BLOOD ANGELS,Regular,Death Company Marines,10 models,160
CODEX: BLOOD ANGELS,Regular,Death Company Marines with Bolt Rifles,5 models,85
CODEX: BLOOD ANGELS,Regular,Death Company Marines with Bolt Rifles,10 models,160
CODEX: BLOOD ANGELS,Regular,Death Company Marines with Jump Packs,5 models,120
CODEX: BLOOD ANGELS,Regular,Death Company Marines with Jump Packs,10 models,230
CODEX: BLOOD ANGELS,Regular,Lemartes,1 model,100
CODEX: BLOOD ANGELS,Regular,Sanguinary Guard,3 models,125
CODEX: BLOOD ANGELS,Regular,Sanguinary Guard,6 models,260
CODEX: BLOOD ANGELS,Regular,Sanguinary Priest,1 model,75
CODEX: BLOOD ANGELS,Regular,The Sanguinor,1 model,130
CODEX: BLOOD ANGELS,Detachment Enhancement,Blazing Icon,Angelic Inheritors,20
CODEX: BLOOD ANGELS,Detachment Enhancement,Ordained Sacriflce,Angelic Inheritors,25
CODEX: BLOOD ANGELS,Detachment Enhancement,Prescient Flash,Angelic Inheritors,20
CODEX: BLOOD ANGELS,Detachment Enhancement,Troubling Visions,Angelic Inheritors,15
CODEX: BLOOD ANGELS,Detachment Enhancement,Gift of Foresight,Liberator Assault Group,15
CODEX: BLOOD ANGELS,Detachment Enhancement,Icon of the Angel,Liberator Assault Group,20
CODEX: BLOOD ANGELS,Detachment Enhancement,Rage-fuelled Warrior,Liberator Assault Group,35
CODEX: BLOOD ANGELS,Detachment Enhancement,Speed of the Primarch,Liberator Assault Group,25
CODEX: BLOOD ANGELS,Detachment Enhancement,Angel’s Fang,Rage-cursed Onslaught,25
CODEX: BLOOD ANGELS,Detachment Enhancement,Carmine Reliquary,Rage-cursed Onslaught,30
CODEX: BLOOD ANGELS,Detachment Enhancement,Master of the Red Thirst,Rage-cursed Onslaught,25
CODEX: BLOOD ANGELS,Detachment Enhancement,Sanguinary Tear,Rage-cursed Onslaught,35
CODEX: BLOOD ANGELS,Detachment Enhancement,Archangel’s Shard,The Angelic Host,15
CODEX: BLOOD ANGELS,Detachment Enhancement,Artisan of War,The Angelic Host,20
CODEX: BLOOD ANGELS,Detachment Enhancement,Gleaming Pinions,The Angelic Host,25
CODEX: BLOOD ANGELS,Detachment Enhancement,Visage of Death,The Angelic Host,15
CODEX: BLOOD ANGELS,Detachment Enhancement,Blood Shard,The Lost Brethren,25
CODEX: BLOOD ANGELS,Detachment Enhancement,Sanguinius’ Grace,The Lost Brethren,20
CODEX: BLOOD ANGELS,Detachment Enhancement,To Slay the Warmaster,The Lost Brethren,15
CODEX: BLOOD ANGELS,Detachment Enhancement,Vengeful Onslaught,The Lost Brethren,10
INDEX: CHAOS DAEMONS,Regular,Beasts of Nurgle,1 model,65
INDEX: CHAOS DAEMONS,Regular,Beasts of Nurgle,2 models,130
INDEX: CHAOS DAEMONS,Regular,Be’lakor,1 model,375
INDEX: CHAOS DAEMONS,Regular,Bloodcrushers,3 models,110
INDEX: CHAOS DAEMONS,Regular,Bloodcrushers,6 models,220
INDEX: CHAOS DAEMONS,Regular,Bloodletters,10 models,110
INDEX: CHAOS DAEMONS,Regular,Bloodmaster,1 model,65
INDEX: CHAOS DAEMONS,Regular,Bloodthirster,1 model,305
INDEX: CHAOS DAEMONS,Regular,Blue Horrors,10 models,125
INDEX: CHAOS DAEMONS,Regular,Burning Chariot,1 model,115
INDEX: CHAOS DAEMONS,Regular,Changecaster,1 model,60
INDEX: CHAOS DAEMONS,Regular,Contorted Epitome,1 model,100
INDEX: CHAOS DAEMONS,Regular,Daemon Prince of Chaos,1 model,190
INDEX: CHAOS DAEMONS,Regular,Daemon Prince of Chaos with Wings,1 model,180
INDEX: CHAOS DAEMONS,Regular,Daemonettes,10 models,100
INDEX: CHAOS DAEMONS,Regular,Epidemius,1 model,80
INDEX: CHAOS DAEMONS,Regular,Exalted Flamer,1 model,65
INDEX: CHAOS DAEMONS,Regular,Fateskimmer,1 model,95
INDEX: CHAOS DAEMONS,Regular,Feculent Gnarlmaw,1 model,100
INDEX: CHAOS DAEMONS,Regular,Fiends,3 models,95
INDEX: CHAOS DAEMONS,Regular,Fiends,6 models,190
INDEX: CHAOS DAEMONS,Regular,Flamers,3 models,65
INDEX: CHAOS DAEMONS,Regular,Flamers,6 models,130
INDEX: CHAOS DAEMONS,Regular,Flesh Hounds,5 models,75
INDEX: CHAOS DAEMONS,Regular,Flesh Hounds,10 models,150
INDEX: CHAOS DAEMONS,Regular,Fluxmaster,1 model,60
INDEX: CHAOS DAEMONS,Regular,Great Unclean One,1 model,250
INDEX: CHAOS DAEMONS,Regular,Hellflayers,1 model,80
INDEX: CHAOS DAEMONS,Regular,Hellflayers,2 models,160
INDEX: CHAOS DAEMONS,Regular,Horticulous Slimux,1 model,120
INDEX: CHAOS DAEMONS,Regular,Infernal Enrapturess,1 model,60
INDEX: CHAOS DAEMONS,Regular,Kairos Fateweaver,1 model,295
INDEX: CHAOS DAEMONS,Regular,Karanak,1 model,75
INDEX: CHAOS DAEMONS,Regular,Keeper of Secrets,1 model,240
INDEX: CHAOS DAEMONS,Regular,Lord of Change,1 model,285
INDEX: CHAOS DAEMONS,Regular,Nurglings,3 models,40
INDEX: CHAOS DAEMONS,Regular,Nurglings,6 models,70
INDEX: CHAOS DAEMONS,Regular,Pink Horrors,10 models,140
INDEX: CHAOS DAEMONS,Regular,Plague Drones,3 models,110
INDEX: CHAOS DAEMONS,Regular,Plague Drones,6 models,220
INDEX: CHAOS DAEMONS,Regular,Plaguebearers,10 models,110
INDEX: CHAOS DAEMONS,Regular,Poxbringer,1 model,55
INDEX: CHAOS DAEMONS,Regular,Rendmaster on Blood Throne,1 model,165
INDEX: CHAOS DAEMONS,Regular,Rotigus,1 model,265
INDEX: CHAOS DAEMONS,Regular,Screamers,3 models,80
INDEX: CHAOS DAEMONS,Regular,Screamers,6 models,160
INDEX: CHAOS DAEMONS,Regular,Seekers,5 models,80
INDEX: CHAOS DAEMONS,Regular,Seekers,10 models,160
INDEX: CHAOS DAEMONS,Regular,Shalaxi Helbane,1 model,340
INDEX: CHAOS DAEMONS,Regular,Skarbrand,1 model,305
INDEX: CHAOS DAEMONS,Regular,Skull Altar,1 model,105
INDEX: CHAOS DAEMONS,Regular,Skull Cannon,1 model,95
INDEX: CHAOS DAEMONS,Regular,Skullmaster,1 model,100
INDEX: CHAOS DAEMONS,Regular,Skulltaker,1 model,85
INDEX: CHAOS DAEMONS,Regular,Sloppity Bilepiper,1 model,55
INDEX: CHAOS DAEMONS,Regular,Soul Grinder,1 model,180
INDEX: CHAOS DAEMONS,Regular,Spoilpox Scrivener,1 model,60
INDEX: CHAOS DAEMONS,Regular,Syll’esske,1 model,120
INDEX: CHAOS DAEMONS,Regular,The Blue Scribes,1 model,75
INDEX: CHAOS DAEMONS,Regular,The Changeling,1 model,90
INDEX: CHAOS DAEMONS,Regular,The Masque of Slaanesh,1 model,95
INDEX: CHAOS DAEMONS,Regular,Tormentbringer,1 model,140
INDEX: CHAOS DAEMONS,Regular,Tranceweaver,1 model,60
INDEX: CHAOS DAEMONS,Detachment Enhancement,Brazenmaw,Blood Legion,15
INDEX: CHAOS DAEMONS,Detachment Enhancement,Fury’s Cage,Blood Legion,20
INDEX: CHAOS DAEMONS,Detachment Enhancement,Gateway Unto Damnation,Blood Legion,10
INDEX: CHAOS DAEMONS,Detachment Enhancement,Slaughterthirst,Blood Legion,25
INDEX: CHAOS DAEMONS,Detachment Enhancement,"A’rgath, the King of Blades",Daemonic Incursion,20
INDEX: CHAOS DAEMONS,Detachment Enhancement,Soulstealer,Daemonic Incursion,15
INDEX: CHAOS DAEMONS,Detachment Enhancement,The Endless Gift,Daemonic Incursion,30
INDEX: CHAOS DAEMONS,Detachment Enhancement,The Everstave,Daemonic Incursion,25
INDEX: CHAOS DAEMONS,Detachment Enhancement,Avatar of Perfection,Legion of Excess,15
INDEX: CHAOS DAEMONS,Detachment Enhancement,Dreaming Crown,Legion of Excess,30
INDEX: CHAOS DAEMONS,Detachment Enhancement,False Majesty,Legion of Excess,30
INDEX: CHAOS DAEMONS,Detachment Enhancement,Soul Glutton,Legion of Excess,10
INDEX: CHAOS DAEMONS,Detachment Enhancement,Cankerblight,Plague Legion,15
INDEX: CHAOS DAEMONS,Detachment Enhancement,Droning Shroud,Plague Legion,35
INDEX: CHAOS DAEMONS,Detachment Enhancement,Font of Spores,Plague Legion,20
INDEX: CHAOS DAEMONS,Detachment Enhancement,Maggot Maws,Plague Legion,15
INDEX: CHAOS DAEMONS,Detachment Enhancement,Improbable Shield,Scintillating Legion,30
INDEX: CHAOS DAEMONS,Detachment Enhancement,Inescapable Eye,Scintillating Legion,10
INDEX: CHAOS DAEMONS,Detachment Enhancement,Infernal Puppeteer,Scintillating Legion,25
INDEX: CHAOS DAEMONS,Detachment Enhancement,Neverblade,Scintillating Legion,20
INDEX: CHAOS DAEMONS,Detachment Enhancement,Fade to Darkness,Shadow Legion,30
INDEX: CHAOS DAEMONS,Detachment Enhancement,Leaping Shadows,Shadow Legion,25
INDEX: CHAOS DAEMONS,Detachment Enhancement,Malice Made Manifest,Shadow Legion,25
INDEX: CHAOS DAEMONS,Detachment Enhancement,Mantle of Gloom,Shadow Legion,20
CODEX: CHAOS KNIGHTS,Regular,Knight Abominant,1 model,355
CODEX: CHAOS KNIGHTS,Regular,Knight Desecrator,1 model,355
CODEX: CHAOS KNIGHTS,Regular,Knight Despoiler,1 model,390
CODEX: CHAOS KNIGHTS,Regular,Knight Rampager,1 model,365
CODEX: CHAOS KNIGHTS,Regular,Knight Ruinator,1 model,355
CODEX: CHAOS KNIGHTS,Regular,Knight Tyrant,1 model,410
CODEX: CHAOS KNIGHTS,Regular,War Dog Brigand,1 model,140
CODEX: CHAOS KNIGHTS,Regular,War Dog Executioner,1 model,130
CODEX: CHAOS KNIGHTS,Regular,War Dog Huntsman,1 model,140
CODEX: CHAOS KNIGHTS,Regular,War Dog Karnivore,1 model,150
CODEX: CHAOS KNIGHTS,Regular,War Dog Stalker,1 model,140
CODEX: CHAOS KNIGHTS,Forge World,Chaos Acastus Knight Asterius,1 model,765
CODEX: CHAOS KNIGHTS,Forge World,Chaos Acastus Knight Porphyrion,1 model,700
CODEX: CHAOS KNIGHTS,Forge World,Chaos Cerastus Knight Acheron,1 model,385
CODEX: CHAOS KNIGHTS,Forge World,Chaos Cerastus Knight Atrapos,1 model,395
CODEX: CHAOS KNIGHTS,Forge World,Chaos Cerastus Knight Castigator,1 model,385
CODEX: CHAOS KNIGHTS,Forge World,Chaos Cerastus Knight Lancer,1 model,385
CODEX: CHAOS KNIGHTS,Forge World,Chaos Questoris Knight Magaera,1 model,375
CODEX: CHAOS KNIGHTS,Forge World,Chaos Questoris Knight Styrix,1 model,375
CODEX: CHAOS KNIGHTS,Forge World,War Dog Moirax,1 model,150
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Final Howl,Houndpack Lance,20
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Loping Predator,Houndpack Lance,10
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Panoply of the Cursed Knight,Houndpack Lance,15
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Preyslayer’s Mantle,Houndpack Lance,15
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Bestial Aspect,Infernal Lance,20
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Blasphemous Engine,Infernal Lance,35
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Fleshmetal Fusion,Infernal Lance,35
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Knight Diabolus,Infernal Lance,25
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Diabolical Resilience,Iconoclast Fiefdom,35
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Pave the Way,Iconoclast Fiefdom,15
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Profane Altar,Iconoclast Fiefdom,20
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Tyrant’s Banner,Iconoclast Fiefdom,5
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Blade of Celerity,Lords of Dread,35
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Blessing of the Dark Master,Lords of Dread,20
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Mirror of Fates,Lords of Dread,30
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Putrid Carapace,Lords of Dread,30
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Throne Mechanicum of Skulls,Lords of Dread,25
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Warp-borne Stalker,Lords of Dread,25
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Malevolent Heraldry,Traitoris Lance,30
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Nightmare’s Master,Traitoris Lance,20
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Tyrant’s Shadow,Traitoris Lance,25
CODEX: CHAOS KNIGHTS,Detachment Enhancement,Veil of Medrengard,Traitoris Lance,35
CODEX: CHAOS SPACE MARINES,Regular,Abaddon the Despoiler,1 model,270
CODEX: CHAOS SPACE MARINES,Regular,Accursed Cultists,8 models,90
CODEX: CHAOS SPACE MARINES,Regular,Accursed Cultists,16 models,195
CODEX: CHAOS SPACE MARINES,Regular,Chaos Bikers,3 models,70
CODEX: CHAOS SPACE MARINES,Regular,Chaos Bikers,6 models,130
CODEX: CHAOS SPACE MARINES,Regular,Chaos Land Raider,1 model,220
CODEX: CHAOS SPACE MARINES,Regular,Chaos Lord,1 model,90
CODEX: CHAOS SPACE MARINES,Regular,Chaos Lord in Terminator Armour,1 model,85
CODEX: CHAOS SPACE MARINES,Regular,Chaos Lord with Jump Pack,1 model,80
CODEX: CHAOS SPACE MARINES,Regular,Chaos Predator Annihilator,1 model,135
CODEX: CHAOS SPACE MARINES,Regular,Chaos Predator Destructor,1 model,140
CODEX: CHAOS SPACE MARINES,Regular,Chaos Rhino,1 model,75
CODEX: CHAOS SPACE MARINES,Regular,Chaos Spawn,2 models,70
CODEX: CHAOS SPACE MARINES,Regular,Chaos Terminator Squad,5 models,180
CODEX: CHAOS SPACE MARINES,Regular,Chaos Terminator Squad,10 models,360
CODEX: CHAOS SPACE MARINES,Regular,Chaos Vindicator,1 model,185
CODEX: CHAOS SPACE MARINES,Regular,Chosen,5 models,125
CODEX: CHAOS SPACE MARINES,Regular,Chosen,10 models,250
CODEX: CHAOS SPACE MARINES,Regular,Cultist Firebrand,1 model,45
CODEX: CHAOS SPACE MARINES,Regular,Cultist Mob,10 models,50
CODEX: CHAOS SPACE MARINES,Regular,Cultist Mob,20 models,100
CODEX: CHAOS SPACE MARINES,Regular,Cypher,1 model,90
CODEX: CHAOS SPACE MARINES,Regular,Dark Apostle,3 models,65
CODEX: CHAOS SPACE MARINES,Regular,Dark Commune,5 models,90
CODEX: CHAOS SPACE MARINES,Regular,Defiler,1 model,190
CODEX: CHAOS SPACE MARINES,Regular,Fabius Bile,2 models,100
CODEX: CHAOS SPACE MARINES,Regular,Fellgor Beastmen,10 models,70
CODEX: CHAOS SPACE MARINES,Regular,Forgefiend,1 model,170
CODEX: CHAOS SPACE MARINES,Regular,Haarken Worldclaimer,1 model,90
CODEX: CHAOS SPACE MARINES,Regular,Havocs,5 models,125
CODEX: CHAOS SPACE MARINES,Regular,Helbrute,1 model,130
CODEX: CHAOS SPACE MARINES,Regular,Heldrake,1 model,205
CODEX: CHAOS SPACE MARINES,Regular,Heretic Astartes Daemon Prince,1 model,165
CODEX: CHAOS SPACE MARINES,Regular,Heretic Astartes Daemon Prince with Wings,1 model,180
CODEX: CHAOS SPACE MARINES,Regular,Huron Blackheart,1 model,120
CODEX: CHAOS SPACE MARINES,Regular,Khorne Lord of Skulls,1 model,450
CODEX: CHAOS SPACE MARINES,Regular,Legionaries,5 models,90
CODEX: CHAOS SPACE MARINES,Regular,Legionaries,10 models,170
CODEX: CHAOS SPACE MARINES,Regular,Lord Discordant on Helstalker,1 model,160
